id_pedido,id_produto,quantidade,valor_unitario,custo_envio,valor_total_venda
PED01139,PROD0083,3,151.75,24.32,455.25
PED00161,PROD0002,4,426.34,43.2,1705.36
PED01602,PROD0086,3,224.43,40.02,673.29
PED01735,PROD0050,1,484.43,37.6,484.43
PED00542,PROD0081,3,477.54,36.53,1432.6200000000001
PED01610,PROD0025,3,388.91,30.22,1166.73
PED01260,PROD0055,2,466.88,7.75,933.76
PED00838,PROD0099,1,356.48,34.5,356.48
PED01089,PROD0063,2,448.84,26.01,897.68
PED01093,PROD0007,1,125.87,26.13,125.87
PED01832,PROD0080,1,179.26,22.06,179.26
PED00446,PROD0094,3,378.94,46.81,1136.82
PED00415,PROD0036,2,218.04,16.23,436.08
PED00531,PROD0096,3,420.29,19.25,1260.8700000000001
PED00440,PROD0026,3,440.04,48.34,1320.1200000000001
PED00737,PROD0044,3,156.87,41.46,470.61
PED01969,PROD0003,1,413.49,5.63,413.49
PED00463,PROD0085,2,85.59,45.77,171.18
PED01944,PROD0089,2,173.76,15.2,347.52
PED00395,PROD0095,3,263.8,36.77,791.4000000000001
PED00710,PROD0087,1,120.96,29.89,120.96
PED01574,PROD0098,2,293.84,29.16,587.68
PED01680,PROD0036,4,293.56,37.31,1174.24
PED01580,PROD0095,2,111.38,14.32,222.76
PED00394,PROD0070,3,399.86,12.16,1199.58
PED00325,PROD0032,4,319.51,34.34,1278.04
PED01916,PROD0030,1,165.7,18.08,165.7
PED01942,PROD0054,4,123.77,48.83,495.08
PED01114,PROD0011,4,440.59,25.32,1762.36
PED00749,PROD0010,3,419.51,10.02,1258.53
PED01093,PROD0087,2,122.58,35.86,245.16
PED01189,PROD0071,1,27.45,18.78,27.45
PED00641,PROD0031,4,404.22,11.69,1616.88
PED00213,PROD0056,3,311.6,24.03,934.8000000000001
PED01875,PROD0037,2,59.43,48.39,118.86
PED01624,PROD0059,4,297.81,23.51,1191.24
PED01358,PROD0085,3,231.57,20.63,694.71
PED01787,PROD0097,3,389.53,25.0,1168.59
PED00368,PROD0018,3,112.45,5.55,337.35
PED01884,PROD0083,1,232.05,10.99,232.05
PED01607,PROD0055,2,86.56,43.24,173.12
PED01700,PROD0013,4,479.19,49.01,1916.76
PED00048,PROD0032,2,391.58,12.11,783.16
PED01075,PROD0009,2,370.99,29.1,741.98
PED01312,PROD0079,4,348.2,48.49,1392.8
PED01813,PROD0063,2,217.43,12.05,434.86
PED01649,PROD0063,1,462.41,13.38,462.41
PED01262,PROD0061,4,45.73,46.71,182.92
PED00132,PROD0067,4,403.6,36.76,1614.4
PED00998,PROD0090,3,115.46,11.84,346.38
PED00785,PROD0091,2,168.77,22.71,337.54
PED01189,PROD0042,4,264.52,7.53,1058.08
PED01397,PROD0079,4,393.5,24.47,1574.0
PED00372,PROD0058,1,420.88,40.01,420.88
PED01828,PROD0051,3,296.03,29.93,888.0899999999999
PED01501,PROD0096,4,207.49,34.13,829.96
PED01778,PROD0018,1,473.79,19.71,473.79
PED00478,PROD0020,4,130.8,12.26,523.2
PED00831,PROD0021,4,403.52,5.59,1614.08
PED00649,PROD0008,4,309.9,41.96,1239.6
PED01614,PROD0008,1,194.68,33.65,194.68
PED00681,PROD0072,2,10.67,15.32,21.34
PED01658,PROD0026,4,228.83,23.83,915.32
PED00687,PROD0016,4,145.59,41.06,582.36
PED01323,PROD0043,2,61.13,29.24,122.26
PED00081,PROD0044,4,46.83,18.51,187.32
PED00086,PROD0007,3,180.3,17.02,540.9000000000001
PED00224,PROD0079,4,311.23,14.79,1244.92
PED00015,PROD0017,3,420.38,42.07,1261.1399999999999
PED00821,PROD0032,2,99.95,31.18,199.9
PED01381,PROD0000,1,218.08,36.91,218.08
PED00162,PROD0075,2,202.06,43.71,404.12
PED01633,PROD0005,4,261.56,49.41,1046.24
PED01691,PROD0040,3,406.7,16.23,1220.1
PED00513,PROD0054,1,281.29,13.14,281.29
PED00349,PROD0004,4,424.86,25.79,1699.44
PED01932,PROD0058,1,264.09,6.58,264.09
PED00680,PROD0079,1,305.89,40.63,305.89
PED01487,PROD0017,4,224.32,44.77,897.28
PED01850,PROD0048,2,413.32,35.87,826.64
PED01860,PROD0081,4,462.68,17.06,1850.72
PED01398,PROD0064,4,323.18,10.54,1292.72
PED01115,PROD0082,2,412.18,22.2,824.36
PED00180,PROD0053,3,38.91,42.5,116.72999999999999
PED00742,PROD0060,4,453.99,20.65,1815.96
PED01324,PROD0007,1,102.57,6.54,102.57
PED00659,PROD0002,4,135.7,17.34,542.8
PED01815,PROD0024,4,36.13,49.55,144.52
PED01212,PROD0068,1,483.05,35.45,483.05
PED01882,PROD0054,2,427.49,45.54,854.98
PED01885,PROD0039,3,457.46,39.87,1372.3799999999999
PED01337,PROD0082,3,425.14,29.29,1275.42
PED00492,PROD0081,1,244.97,11.69,244.97
PED00922,PROD0049,2,462.8,20.69,925.6
PED01945,PROD0094,4,485.04,31.27,1940.16
PED00127,PROD0032,4,256.26,44.18,1025.04
PED01542,PROD0017,4,96.06,17.09,384.24
PED01449,PROD0056,4,332.73,10.46,1330.92
PED01582,PROD0015,4,487.96,30.15,1951.84
PED00564,PROD0079,1,437.35,12.94,437.35
PED01210,PROD0037,4,432.29,32.47,1729.16
PED00549,PROD0040,4,467.57,16.86,1870.28
PED00452,PROD0006,2,448.04,15.39,896.08
PED00470,PROD0077,4,390.38,22.96,1561.52
PED00987,PROD0052,3,361.95,31.69,1085.85
PED00737,PROD0062,1,139.74,29.54,139.74
PED01588,PROD0088,1,314.46,16.01,314.46
PED01934,PROD0031,1,265.53,45.1,265.53
PED00223,PROD0037,3,432.35,9.94,1297.0500000000002
PED00153,PROD0021,4,250.94,6.78,1003.76
PED00559,PROD0015,1,72.59,32.12,72.59
PED00350,PROD0051,3,12.44,10.55,37.32
PED01170,PROD0028,2,342.16,27.72,684.32
PED01928,PROD0015,4,279.46,47.83,1117.84
PED01599,PROD0075,3,172.17,36.44,516.51
PED00348,PROD0016,4,92.8,32.79,371.2
PED00181,PROD0063,2,238.69,30.87,477.38
PED00636,PROD0090,3,59.14,13.08,177.42000000000002
PED01017,PROD0088,4,174.69,24.47,698.76
PED00178,PROD0012,3,195.81,20.41,587.4300000000001
PED01062,PROD0071,1,238.15,47.89,238.15
PED00771,PROD0055,4,238.64,15.9,954.56
PED00893,PROD0004,3,135.93,26.22,407.79
PED01026,PROD0011,1,426.6,47.21,426.6
PED01015,PROD0040,2,184.22,40.51,368.44
PED00063,PROD0002,4,122.5,48.4,490.0
PED00028,PROD0098,4,96.15,32.37,384.6
PED00371,PROD0032,2,168.06,20.02,336.12
PED01546,PROD0085,1,43.1,42.2,43.1
PED00096,PROD0049,2,26.12,18.12,52.24
PED01893,PROD0055,4,306.52,12.41,1226.08
PED01465,PROD0008,3,313.38,36.78,940.14
PED01226,PROD0081,1,269.5,33.75,269.5
PED01434,PROD0049,1,383.52,44.55,383.52
PED00992,PROD0028,1,29.18,48.29,29.18
PED00020,PROD0038,2,468.63,43.57,937.26
PED01574,PROD0090,2,56.58,7.7,113.16
PED00734,PROD0099,3,340.27,34.9,1020.81
PED01125,PROD0044,3,75.36,40.31,226.07999999999998
PED01069,PROD0016,1,441.15,49.19,441.15
PED00065,PROD0055,3,260.25,21.86,780.75
PED00602,PROD0097,2,50.32,12.64,100.64
PED01187,PROD0045,3,312.19,43.38,936.5699999999999
PED01994,PROD0066,2,14.46,19.29,28.92
PED01134,PROD0068,3,390.25,31.92,1170.75
PED00337,PROD0013,4,328.79,22.55,1315.16
PED00122,PROD0066,2,114.19,23.1,228.38
PED01728,PROD0022,4,193.63,37.96,774.52
PED00446,PROD0093,2,13.83,21.27,27.66
PED00610,PROD0060,3,349.91,36.19,1049.73
PED01314,PROD0022,4,168.11,5.64,672.44
PED00670,PROD0026,3,290.08,19.61,870.24
PED01435,PROD0053,2,478.8,19.36,957.6
PED00614,PROD0009,4,156.74,38.7,626.96
PED00896,PROD0088,1,495.22,19.16,495.22
PED00280,PROD0076,3,320.04,33.5,960.1200000000001
PED01066,PROD0015,2,128.62,35.98,257.24
PED01509,PROD0040,4,224.02,34.63,896.08
PED00595,PROD0097,3,372.82,32.15,1118.46
PED01986,PROD0054,4,228.77,23.61,915.08
PED00702,PROD0060,3,43.57,21.8,130.71
PED01074,PROD0085,3,92.62,30.41,277.86
PED01921,PROD0080,3,397.74,7.87,1193.22
PED00209,PROD0086,4,327.7,44.41,1310.8
PED00125,PROD0099,4,289.21,42.14,1156.84
PED00491,PROD0048,3,92.13,20.59,276.39
PED01532,PROD0072,1,420.5,30.51,420.5
PED00959,PROD0051,1,480.76,46.95,480.76
PED00969,PROD0001,1,30.03,17.22,30.03
PED00580,PROD0095,2,48.24,38.41,96.48
PED00776,PROD0049,1,443.52,8.72,443.52
PED00257,PROD0085,4,409.62,28.55,1638.48
PED01953,PROD0042,1,312.79,44.78,312.79
PED01211,PROD0076,4,473.03,29.83,1892.12
PED00229,PROD0007,2,326.75,32.73,653.5
PED00188,PROD0058,4,115.83,45.84,463.32
PED01438,PROD0064,4,367.03,37.19,1468.12
PED00009,PROD0080,4,326.4,36.31,1305.6
PED01137,PROD0011,1,493.01,31.39,493.01
PED01099,PROD0003,3,114.81,33.48,344.43
